budget,id,popularity,revenue,title,vote_average,vote_count,genre_ids,genre_names,btc_name,btc_id
30000000,862,21.946943,373554033,Toy Story,7.7,5415,16|35|10751,Animation|Comedy|Family,Toy Story Collection,10194
65000000,8844,17.015539,262797249,Jumanji,6.9,2413,12|14|10751,Adventure|Fantasy|Family,,
0,15602,11.7129,0,Grumpier Old Men,6.5,92,10749|35,Romance|Comedy,Grumpy Old Men Collection,119050
16000000,31357,3.859495,81452156,Waiting to Exhale,6.1,34,35|18|10749,Comedy|Drama|Romance,,
0,11862,8.387519,76578911,Father of the Bride Part II,5.7,173,35,Comedy,Father of the Bride Collection,96871
60000000,949,17.924927,187436818,Heat,7.7,1886,28|80|18|53,Action|Crime|Drama|Thriller,,
58000000,11860,6.677277,0,Sabrina,6.2,141,35|10749,Comedy|Romance,,
0,45325,2.561161,0,Tom and Huck,5.4,45,28|12|18|10751,Action|Adventure|Drama|Family,,
35000000,9091,5.23158,64350171,Sudden Death,5.5,174,28|12|53,Action|Adventure|Thriller,,
58000000,710,14.686036,352194034,GoldenEye,6.6,1194,12|28|53,Adventure|Action|Thriller,James Bond Collection,645
62000000,9087,6.318445,107879496,The American President,6.5,199,35|18|10749,Comedy|Drama|Romance,,
0,12110,5.430331,0,Dracula: Dead and Loving It,5.7,210,35|27,Comedy|Horror,,
0,21032,12.140733,11348324,Balto,7.1,423,10751|16|12,Family|Animation|Adventure,Balto Collection,117693
44000000,10858,5.092,13681765,Nixon,7.1,72,36|18,History|Drama,,
98000000,1408,7.284477,10017322,Cutthroat Island,5.7,137,28|12,Action|Adventure,,
52000000,524,10.137389,116112375,Casino,7.8,1343,18|80,Drama|Crime,,
16500000,4584,10.673167,135000000,Sense and Sensibility,7.2,364,18|10749,Drama|Romance,,
4000000,5,9.026586,4300000,Four Rooms,6.5,539,80|35,Crime|Comedy,,
30000000,9273,8.205448,212385533,Ace Ventura: When Nature Calls,6.1,1128,80|35|12,Crime|Comedy|Adventure,Ace Ventura Collection,3167
60000000,11517,7.337906,35431113,Money Train,5.4,224,28|35|80,Action|Comedy|Crime,,
30250000,8012,12.669608,115101622,Get Shorty,6.4,305,35|53|80,Comedy|Thriller|Crime,Chili Palmer Collection,91698
0,1710,10.701801,0,Copycat,6.5,199,18|53,Drama|Thriller,,
50000000,9691,11.065939,30303072,Assassins,6.0,394,28|12|80|53,Action|Adventure|Crime|Thriller,,
0,12665,12.133094,0,Powder,6.3,143,18|14|878|53,Drama|Fantasy|Science Fiction|Thriller,,
3600000,451,10.332025,49800000,Leaving Las Vegas,7.1,365,18|10749,Drama|Romance,,
0,16420,1.845899,0,Othello,7.0,33,18,Drama,,
12000000,9263,8.681325,27400000,Now and Then,6.6,91,35|18|10751,Comedy|Drama|Family,,
0,17015,2.228434,0,Persuasion,7.4,36,18|10749,Drama|Romance,,
18000000,902,9.822423,1738611,The City of Lost Children,7.6,308,14|878|12,Fantasy|Science Fiction|Adventure,,
0,37557,1.100915,0,Shanghai Triad,6.5,17,18|80,Drama|Crime,,
0,9909,9.481338,180000000,Dangerous Minds,6.4,249,18|80,Drama|Crime,,
29500000,63,12.297305,168840000,Twelve Monkeys,7.4,2470,878|53|9648,Science Fiction|Thriller|Mystery,,
0,78802,0.745542,0,Wings of Courage,6.8,4,10749|12,Romance|Adventure,,
30000000,9598,14.404764,254134910,Babe,6.0,756,14|18|35|10751,Fantasy|Drama|Comedy|Family,Babe Collection,9435
0,47018,1.493361,0,Carrington,6.4,16,36|18|10749,History|Drama|Romance,,
11000000,687,6.891317,39363635,Dead Man Walking,7.3,350,18,Drama,,
0,139405,0.114469,0,Across the Sea of Time,3.5,2,12|36|18|10751,Adventure|History|Drama|Family,,
0,33689,7.777735,0,It Takes Two,6.1,149,35|10751|10749,Comedy|Family|Romance,,
12000000,9603,9.882383,0,Clueless,6.9,828,35|18|10749,Comedy|Drama|Romance,,
0,34615,0.894647,676525,"Cry, the Beloved Country",6.7,13,18,Drama,,
0,31174,4.561387,0,Richard III,6.9,50,18|10752,Drama|War,,
10000000,11443,9.87957,0,Dead Presidents,6.6,80,28|80|18|36,Action|Crime|Drama|History,,
19000000,35196,10.979269,0,Restoration,6.3,30,18|10749,Drama|Romance,,
18000000,9312,10.870138,122195920,Mortal Kombat,5.4,452,28|14,Action|Fantasy,Mortal Kombat Collection,9818
20000000,577,10.448481,21284514,To Die For,6.7,177,14|18|35|53,Fantasy|Drama|Comedy|Thriller,,
10000000,11861,4.485958,23574130,How To Make An American Quilt,6.5,38,18|10749,Drama|Romance,,
33000000,807,18.45743,327311859,Se7en,8.1,5915,80|9648|53,Crime|Mystery|Thriller,,
55000000,10530,13.280069,346079773,Pocahontas,6.7,1509,12|16|18|10751,Adventure|Animation|Drama|Family,Pocahontas Collection,136214
0,8391,3.302524,0,When Night Is Falling,5.9,10,18|10749,Drama|Romance,,
6000000,629,16.302466,23341568,The Usual Suspects,8.1,3334,18|80|53,Drama|Crime|Thriller,,
0,117164,0.595949,0,Guardian Angel,6.3,3,28|53|18,Action|Thriller|Drama,,
15000000,11448,15.899134,6700000,Mighty Aphrodite,6.7,145,35|10749,Comedy|Romance,,
0,49133,1.361286,0,Lamerica,7.7,11,18|10769,Drama|Foreign,,
0,26441,5.982764,0,The Big Green,5.2,41,28|12|35|10751,Action|Adventure|Comedy|Family,,
0,97406,4.093443,0,Georgia,6.1,15,18,Drama,,
0,124057,0.307075,0,Kids of the Round Table,3.0,1,,,,
0,9089,8.416802,17519169,Home for the Holidays,6.3,39,35|18|10749,Comedy|Drama|Romance,,
0,11010,10.168437,0,The Postman,7.6,181,35|18|10749,Comedy|Drama|Romance,,
0,99040,0.120789,0,The Confessional,6.5,2,53|18|9648,Thriller|Drama|Mystery,,
45000000,11359,10.673296,0,The Indian in the Cupboard,5.9,136,12|10751|14,Adventure|Family|Fantasy,,
20000000,17182,4.733526,0,Eye for an Eye,5.8,65,18|53,Drama|Thriller,,
0,2054,7.137117,106269971,Mr. Holland's Opus,6.9,115,10402|18|10751,Music|Drama|Family,,
0,10607,11.700115,0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192,35,Comedy,,
0,19760,2.174487,0,Two If by Sea,4.5,14,35|10749,Comedy|Romance,,
15000000,9536,6.387469,0,Bio-Dome,4.4,110,35,Comedy,,
0,11525,2.49535,2409225,Lawnmower Man 2: Beyond Cyberspace,2.8,32,28|878,Action|Science Fiction,The Lawnmower Man Collection,124935
0,40628,4.046208,0,Two Bits,5.4,11,18|10751,Drama|Family,,
0,4482,2.518051,0,French Twist,6.0,43,35|10749,Comedy|Romance,,
3500000,10634,14.56965,28215918,Friday,7.0,513,35,Comedy,Friday Collection,43563
19000000,755,15.339153,25836616,From Dusk Till Dawn,6.9,1644,27|28|53|80,Horror|Action|Thriller|Crime,From Dusk Till Dawn Collection,10924
50000000,11859,5.912223,11534477,Fair Game,4.1,54,28|53|10749,Action|Thriller|Romance,,
0,28387,3.367276,718490,Kicking and Screaming,7.0,36,35|18|10749,Comedy|Drama|Romance,,
0,48750,1.479446,0,Les Miserables,6.6,8,18|36,Drama|History,,
0,20927,10.412194,19030691,Bed of Roses,5.1,27,18|10749,Drama|Romance,,
15000000,36929,2.936443,2042530,Big Bully,3.9,16,35|10751,Comedy|Family,,
20000000,9102,12.758848,5781885,Screamers,6.1,154,27|878,Horror|Science Fiction,Screamers Collection,122017
0,124626,0.133893,0,Nico Icon,7.3,3,99,Documentary,,
